song_title,artist
cruel summer,taylor swift
paint the town red,doja cat
is it over now? (taylor's version) [from the vault],taylor swift
snooze,sza
standing next to you,jung kook
i remember everything,zach bryan featuring kacey musgraves
now and then,the beatles
fast car,luke combs
thinkin' bout me,morgan wallen
last night,morgan wallen
greedy,tate mcrae
now that we don't talk (taylor's version) [from the vault],taylor swift
fukumean,gunna
rich baby daddy,drake featuring sexyy red & sza
need a favor,jelly roll
dance the night,dua lipa
vampire,olivia rodrigo
water,tyla
monaco,bad bunny
agora hills,doja cat
idgaf,drake featuring yeat
save me,jelly roll with lainey wilson
flowers,miley cyrus
first person shooter,drake featuring j. cole
used to be young,miley cyrus
say don't go (taylor's version) [from the vault],taylor swift
lil boo thang,paul russell
what was i made for?,billie eilish
white horse,chris stapleton
good good,"usher, summer walker & 21 savage"
slut! (taylor's version) [from the vault],taylor swift
cobra,megan thee stallion
my love mine all mine,mitski
what it is (block boy),doechii featuring kodak black
dial drunk,noah kahan with post malone
daylight,david kushner
stick season,noah kahan
kill bill,sza
barbie world,nicki minaj & ice spice with aqua
i know ?,travis scott
bad idea right?,olivia rodrigo
wild ones,jessie murph & jelly roll
lose control,teddy swims
harley quinn,fuerza regida & marshmello
style (taylor's version),taylor swift
pretty little poison,warren zeiders
bad blood (taylor's version),taylor swift
world on fire,nate smith
seven,jung kook featuring latto
suburban legends (taylor's version) [from the vault],taylor swift
on my mama,victoria monet
try that in a small town,jason aldean
strangers,kenya grace
virginia beach,drake
500lbs,lil tecca
can't catch me now,olivia rodrigo
perro negro,bad bunny & feid
3d,jung kook & jack harlow
blank space (taylor's version),taylor swift
get him back!,olivia rodrigo
the painter,cody johnson
great gatsby,rod wave
single soon,selena gomez
bongos,cardi b & megan thee stallion
watermelon moonshine,lainey wilson
qlona,karol g & peso pluma
can't have mine,dylan scott
lady gaga,"peso pluma, gabito ballesteros & junior h"
everything i love,morgan wallen
slime you out,drake featuring sza
rich men north of richmond,oliver anthony music
wildest dreams (taylor's version),taylor swift
out of the woods (taylor's version),taylor swift
truck bed,hardy
meltdown,travis scott featuring drake
hey driver,zach bryan featuring the war and treaty
welcome to new york (taylor's version),taylor swift
que onda,calle 24 x chino pacas x fuerza regida
segun quien,maluma & carin leon
burn it down,parker mccollum
stars like confetti,dustin lynch
lala,myke towers
shake it off (taylor's version),taylor swift
skeeyee,sexyy red
god gave me a girl,russell dickerson
standing room only,tim mcgraw
fina,bad bunny & young miko
el amor de su vida,grupo frontera & grupo firme
all you had to do was stay (taylor's version),taylor swift
turks & caicos,rod wave featuring 21 savage
mi ex tenia razon,karol g
new romantics (taylor's version),taylor swift
un preview,bad bunny
too much,"the kid laroi, jung kook & central cee"
save me the trouble,dan + shay
clean (taylor's version),taylor swift
bleed,the kid laroi
but i got a beer in my hand,luke bryan
we don't fight anymore,carly pearce featuring chris stapleton
sarah's place,zach bryan featuring noah kahan
lovin on me,jack harlow
i remember everything (feat. kacey musgraves),zach bryan
save me (with lainey wilson),jelly roll
90s rap mashup,austin williams
around me the cold night,luminara stellaris
sin so sweet,warren zeiders
fairytale of philadelphia,"the philly specials, jason kelce & travis kelce"
next winter i will wait for you forever,luminara stellaris
christmas / sarajevo 12/24 (instrumental),trans-siberian orchestra
thinkin’ bout me,morgan wallen
in the sky a white cloud drifted lazily,luminara stellaris
greedy,tate mcrae
all i want for christmas is you,mariah carey
houdini,dua lipa
even though i know you,luminara stellaris
wrap me up,jimmy fallon & meghan trainor
now i know i know i've lost you,luminara stellaris
standing next to you,jung kook
where the wild things are,luke combs
rockin' around the christmas tree (single),brenda lee
the wind brings winter,luminara stellaris
evil ways (feat. j. cole),drake
still not fade the footprints,luminara stellaris
tonight i dreamed a pink dream,luminara stellaris
my heart has come back,luminara stellaris
you broke my heart,drake
why don't you tell the truth ?,the day you
i still miss you every time dusk falls,luminara stellaris
can’t catch me now (from the hunger games: the ballad of songbirds & snakes),olivia rodrigo
karma,taylor swift
exes,tate mcrae
better place (from trolls band together),*nsync & justin timberlake
fancy like christmas,walker hayes
to be a man (feat. darius rucker),dax
you don't need to worry,the day you
the pink rays of sunlight disappear,luminara stellaris
snowman,sia
wild ones (extended version),jessie murph & jelly roll
rich men north of richmond,oliver anthony music
keith,kaylee bell
standing next to you (band version),jung kook
flyin' pass (single),caldwell
the buds of youth are still lingering there,luminara stellaris
if you dont have one-the day you,the day you
save me,jelly roll
gratitude,brandon lake
nights in white satin (single edit),"the moody blues, london festival orchestra & peter knight"
anti-hero,taylor swift
standing next to you (slow jam remix),jung kook
standing next to you (holiday remix),jung kook
standing next to you (instrumental),jung kook
wizards in winter (instrumental),trans-siberian orchestra
standing next to you (future funk remix),jung kook
standing next to you (pbr&b remix),jung kook
standing next to you (latin trap remix),jung kook
my arms are spread wide with joy,luminara stellaris
lover,taylor swift
monaco,bad bunny
islands in the stream,dolly parton & kenny rogers
stories about my brother,drake
forever settled inside me,luminara stellaris
the christmas song (merry christmas to you),"nat ""king"" cole"
the shoe fits,drake
so it's sad to be apart,luminara stellaris
red button,drake
son of a sinner,jelly roll
the best,nicotine dolls
tennessee whiskey,chris stapleton
wick man,drake
dirt cheap,cody johnson
please stay don't go,the day you
presha,2 chainz & lil wayne
a mad russian's christmas (instrumental),trans-siberian orchestra
let it be (feat. paul mccartney & ringo starr),dolly parton
purple rain,dolly parton
those who leave will not return,luminara stellaris
g6,2 chainz & lil wayne
dial drunk,noah kahan & post malone
autumn comes dry,luminara stellaris
last christmas (single version),wham!
in my life,the beatles
truck bed,hardy
one more time,blink-182
