track_name,artist_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Timber (feat. Ke$ha),Pitbull,3tgZ9vmhuAY9wEoNUJskzV,0.589,0.966,11,-4.106,1,0.0972,0.03,0.0,0.147,0.802,129.983,audio_features,3tgZ9vmhuAY9wEoNUJskzV,spotify:track:3tgZ9vmhuAY9wEoNUJskzV,https://api.spotify.com/v1/tracks/3tgZ9vmhuAY9wEoNUJskzV,https://api.spotify.com/v1/audio-analysis/3tgZ9vmhuAY9wEoNUJskzV,204200,4
Starships,Nicki Minaj,2EBCVPNAG46nbgs6jXPGvv,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,audio_features,2EBCVPNAG46nbgs6jXPGvv,spotify:track:2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/tracks/2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/audio-analysis/2EBCVPNAG46nbgs6jXPGvv,210627,4
Wild Strawberries,PNAU,6pGUGTIaZ1H4jKHIL4Fged,0.647,0.933,7,-4.056,1,0.111,0.000351,0.00277,0.334,0.332,119.921,audio_features,6pGUGTIaZ1H4jKHIL4Fged,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,https://api.spotify.com/v1/tracks/6pGUGTIaZ1H4jKHIL4Fged,https://api.spotify.com/v1/audio-analysis/6pGUGTIaZ1H4jKHIL4Fged,235107,4
Papaoutai,Stromae,09TcIuH1ZO7i4vicWKoaN2,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,audio_features,09TcIuH1ZO7i4vicWKoaN2,spotify:track:09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/tracks/09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/audio-analysis/09TcIuH1ZO7i4vicWKoaN2,232147,4
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
Rock and Roll - 1990 Remaster,Led Zeppelin,3w2GGz0HjIu9OcWXINRFJR,0.327,0.895,9,-7.428,1,0.0367,0.000564,0.0159,0.104,0.898,169.39,audio_features,3w2GGz0HjIu9OcWXINRFJR,spotify:track:3w2GGz0HjIu9OcWXINRFJR,https://api.spotify.com/v1/tracks/3w2GGz0HjIu9OcWXINRFJR,https://api.spotify.com/v1/audio-analysis/3w2GGz0HjIu9OcWXINRFJR,219800,4
Talk Dirty (feat. 2 Chainz),Jason Derulo,4X4tgBEUiT6WqB2oTJ5ynH,0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,audio_features,4X4tgBEUiT6WqB2oTJ5ynH,spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/tracks/4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/audio-analysis/4X4tgBEUiT6WqB2oTJ5ynH,177685,4
La La La,Naughty Boy,36pLU2ywVeBKEF0rrKtmCB,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,audio_features,36pLU2ywVeBKEF0rrKtmCB,spotify:track:36pLU2ywVeBKEF0rrKtmCB,https://api.spotify.com/v1/tracks/36pLU2ywVeBKEF0rrKtmCB,https://api.spotify.com/v1/audio-analysis/36pLU2ywVeBKEF0rrKtmCB,222200,4
Play Hard (feat. Ne-Yo & Akon),David Guetta,0BBZuOGGBj9u4X3rAfmae8,0.691,0.921,8,-1.702,0,0.0533,0.173,0.0,0.331,0.8,130.072,audio_features,0BBZuOGGBj9u4X3rAfmae8,spotify:track:0BBZuOGGBj9u4X3rAfmae8,https://api.spotify.com/v1/tracks/0BBZuOGGBj9u4X3rAfmae8,https://api.spotify.com/v1/audio-analysis/0BBZuOGGBj9u4X3rAfmae8,201000,4
Feel This Moment (feat. Christina Aguilera),Pitbull,1obZSxOoO12yWkwY1kY72N,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,audio_features,1obZSxOoO12yWkwY1kY72N,spotify:track:1obZSxOoO12yWkwY1kY72N,https://api.spotify.com/v1/tracks/1obZSxOoO12yWkwY1kY72N,https://api.spotify.com/v1/audio-analysis/1obZSxOoO12yWkwY1kY72N,229507,4
Love Me Again,John Newman,1a1r5s7ivXUVQQrIvo5VSs,0.5,0.892,2,-4.714,0,0.0433,0.00445,0.000422,0.0969,0.233,126.019,audio_features,1a1r5s7ivXUVQQrIvo5VSs,spotify:track:1a1r5s7ivXUVQQrIvo5VSs,https://api.spotify.com/v1/tracks/1a1r5s7ivXUVQQrIvo5VSs,https://api.spotify.com/v1/audio-analysis/1a1r5s7ivXUVQQrIvo5VSs,239894,4
A Little Party Never Killed Nobody (All We Got),Various Artists,1mz9ZrRYu3EPVg9ZHFtjjf,0.763,0.653,5,-5.05,0,0.149,0.00876,5.46e-06,0.0854,0.477,130.025,audio_features,1mz9ZrRYu3EPVg9ZHFtjjf,spotify:track:1mz9ZrRYu3EPVg9ZHFtjjf,https://api.spotify.com/v1/tracks/1mz9ZrRYu3EPVg9ZHFtjjf,https://api.spotify.com/v1/audio-analysis/1mz9ZrRYu3EPVg9ZHFtjjf,240907,4
We Found Love,Rihanna,1gYMxXXGANfGIGXDFf9Czv,0.75,0.756,1,-4.45,1,0.0426,0.0187,0.00125,0.196,0.6,127.992,audio_features,1gYMxXXGANfGIGXDFf9Czv,spotify:track:1gYMxXXGANfGIGXDFf9Czv,https://api.spotify.com/v1/tracks/1gYMxXXGANfGIGXDFf9Czv,https://api.spotify.com/v1/audio-analysis/1gYMxXXGANfGIGXDFf9Czv,215227,4
Pompeii,Bastille,0sooJd5WbNnnz5k6yO7FIQ,0.682,0.714,9,-6.306,1,0.0399,0.074,0.0,0.278,0.581,127.443,audio_features,0sooJd5WbNnnz5k6yO7FIQ,spotify:track:0sooJd5WbNnnz5k6yO7FIQ,https://api.spotify.com/v1/tracks/0sooJd5WbNnnz5k6yO7FIQ,https://api.spotify.com/v1/audio-analysis/0sooJd5WbNnnz5k6yO7FIQ,214148,4
Die Young,Kesha,6mnjcTmK8TewHfyOp3fC9C,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,audio_features,6mnjcTmK8TewHfyOp3fC9C,spotify:track:6mnjcTmK8TewHfyOp3fC9C,https://api.spotify.com/v1/tracks/6mnjcTmK8TewHfyOp3fC9C,https://api.spotify.com/v1/audio-analysis/6mnjcTmK8TewHfyOp3fC9C,211920,4
Hymn,Kesha,0wJJhRgdHhT93Z3iWdMB0T,0.488,0.538,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.037,audio_features,0wJJhRgdHhT93Z3iWdMB0T,spotify:track:0wJJhRgdHhT93Z3iWdMB0T,https://api.spotify.com/v1/tracks/0wJJhRgdHhT93Z3iWdMB0T,https://api.spotify.com/v1/audio-analysis/0wJJhRgdHhT93Z3iWdMB0T,205600,4
Burn,Ellie Goulding,2GgxS8bUT5G25QJTsfSv0R,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,audio_features,2GgxS8bUT5G25QJTsfSv0R,spotify:track:2GgxS8bUT5G25QJTsfSv0R,https://api.spotify.com/v1/tracks/2GgxS8bUT5G25QJTsfSv0R,https://api.spotify.com/v1/audio-analysis/2GgxS8bUT5G25QJTsfSv0R,231212,4
Animals - Extended,Martin Garrix,28GieRAflAHypFfEimSaxa,0.673,0.853,1,-6.451,1,0.038,0.00171,0.724,0.39,0.0382,128.015,audio_features,28GieRAflAHypFfEimSaxa,spotify:track:28GieRAflAHypFfEimSaxa,https://api.spotify.com/v1/tracks/28GieRAflAHypFfEimSaxa,https://api.spotify.com/v1/audio-analysis/28GieRAflAHypFfEimSaxa,303827,4
Safe And Sound,Capital Cities,6BnONjR7itGMEqwxKTIlRM,0.653,0.822,0,-4.857,1,0.033,0.00021,0.0047,0.0838,0.762,117.949,audio_features,6BnONjR7itGMEqwxKTIlRM,spotify:track:6BnONjR7itGMEqwxKTIlRM,https://api.spotify.com/v1/tracks/6BnONjR7itGMEqwxKTIlRM,https://api.spotify.com/v1/audio-analysis/6BnONjR7itGMEqwxKTIlRM,192790,5
Levels - Radio Edit,Avicii,0JhKJg5ejeQ8jq89UQtnw8,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,audio_features,0JhKJg5ejeQ8jq89UQtnw8,spotify:track:0JhKJg5ejeQ8jq89UQtnw8,https://api.spotify.com/v1/tracks/0JhKJg5ejeQ8jq89UQtnw8,https://api.spotify.com/v1/audio-analysis/0JhKJg5ejeQ8jq89UQtnw8,199904,4
Titanium (feat. Sia),David Guetta,0TDLuuLlV54CkRRUOahJb4,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,0TDLuuLlV54CkRRUOahJb4,spotify:track:0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,245040,4
Rather Be (feat. Jess Glynne),Jess Glynne,5HuqzFfq2ulY1iBAW5CxLe,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,audio_features,5HuqzFfq2ulY1iBAW5CxLe,spotify:track:5HuqzFfq2ulY1iBAW5CxLe,https://api.spotify.com/v1/tracks/5HuqzFfq2ulY1iBAW5CxLe,https://api.spotify.com/v1/audio-analysis/5HuqzFfq2ulY1iBAW5CxLe,227833,4
Hey Now (feat. Kyle) - Single Mix,Martin Solveig,4jay2G7QI61dlPd8qKy5BP,0.712,0.957,0,-1.923,1,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,audio_features,4jay2G7QI61dlPd8qKy5BP,spotify:track:4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/tracks/4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/audio-analysis/4jay2G7QI61dlPd8qKy5BP,187507,4
Hey Now (feat. Kyle) - Single Mix,The Cataracs,4jay2G7QI61dlPd8qKy5BP,0.712,0.957,0,-1.923,1,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,audio_features,4jay2G7QI61dlPd8qKy5BP,spotify:track:4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/tracks/4jay2G7QI61dlPd8qKy5BP,https://api.spotify.com/v1/audio-analysis/4jay2G7QI61dlPd8qKy5BP,187507,4
This Is What It Feels Like,Armin van Buuren,5GjnIpUlLGEIYk052ISOw9,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,audio_features,5GjnIpUlLGEIYk052ISOw9,spotify:track:5GjnIpUlLGEIYk052ISOw9,https://api.spotify.com/v1/tracks/5GjnIpUlLGEIYk052ISOw9,https://api.spotify.com/v1/audio-analysis/5GjnIpUlLGEIYk052ISOw9,204360,5
Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,audio_features,55h7vJchibLdUkxdlX3fK7,spotify:track:55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/audio-analysis/55h7vJchibLdUkxdlX3fK7,178560,4
I Need Your Love,Ellie Goulding,1mATmqAUKqG57iWjGE1nRa,0.692,0.865,8,-4.939,1,0.0548,0.385,0.0,0.106,0.62,124.987,audio_features,1mATmqAUKqG57iWjGE1nRa,spotify:track:1mATmqAUKqG57iWjGE1nRa,https://api.spotify.com/v1/tracks/1mATmqAUKqG57iWjGE1nRa,https://api.spotify.com/v1/audio-analysis/1mATmqAUKqG57iWjGE1nRa,234809,4
